Week_Number;Customer;Volume;group
1;gonadal;2;0
1;vistula;6;0
1;mizoram;6;0
1;cynurus;8;0
1;britska;13;0
1;amenity;14;0
1;puccoon;19;0
1;trismus;20;0
1;nonsane;27;0
1;engager;28;0
1;chunder;31;0
1;citizen;33;0
1;eroding;34;0
1;heavier;36;0
1;candler;37;0
1;murther;38;0
1;angrier;44;0
1;ivylike;45;0
1;kowloon;49;0
1;arecibo;53;0
1;sophist;55;0
1;protege;57;0
1;birling;60;0
1;bambino;64;0
1;aplitic;66;0
1;fumette;69;0
1;agulhas;71;0
1;manning;71;0
1;doubter;80;0
1;quamash;80;0
1;service;83;0
1;luganda;95;0
1;scauper;130;0
1;fleecer;135;0
1;maginus;136;0
1;iodizer;137;0
1;anchovy;146;0
1;starver;157;0
1;ferrari;178;0
1;twinned;181;0
1;stertor;201;0
1;capelin;213;0
1;kinesic;258;0
1;arrived;258;0
1;philtre;275;0
1;shipman;300;0
1;parquet;376;0
1;allover;407;0
1;subhead;416;0
1;enskyed;489;0
1;etching;657;0
1;berwick;682;0
1;saurian;692;0
1;flunkey_0001;777;0
1;toadied;1134;0
1;ebonise;1182;0
1;Year;2019;0
1;woodser;3468;0
1;grafton;4120;0
1;contemn;4603;0
1;maestro;5797;0
1;scalpel;6312;0
1;fergana;7370;0
1;cawdrey;8789;0
1;dacryon;8876;0
1;mortise;11423;0,5
1;shaptin;11885;0,5
1;microhm;12172;0,5
1;drawbar;15268;0,5
1;benison;16402;0,5
1;cadorna;16588;0,5
1;mitzvah;17467;0,5
1;precast;19088;0,5
1;recarve;20095;0,5
1;fordone;22507;0,5
1;hydroid;22680;0,5
1;seattle;22704;0,5
1;golding;32461;0,5
1;triduum;49620;0,5
1;lighter;69024;0,5
1;nonplus;104728;0,5
1;overlay;105175;0,5
1;neuston;164334;0,5
1;flunkey;942828;1
2;tripoli;1;0
2;anchovy;2;0
2;mizoram;3;0
2;protege;6;0
2;natalia;9;0
2;sullage;14;0
2;murther;14;0
2;gossipy;16;0
2;doubter;16;0
2;mabelle;16;0
2;bambino;17;0
2;airline;18;0
2;candler;19;0
2;sophist;26;0
2;trismus;31;0
2;cynurus;36;0
2;oceanog;39;0
2;amenity;39;0
2;nonsane;41;0
2;puccoon;43;0
2;kowloon;53;0
2;heavier;59;0
2;citizen;60;0
2;ivylike;62;0
2;arecibo;67;0
2;byronic;76;0
2;twinned;88;0
2;fumette;92;0
2;britska;93;0
2;quamash;99;0
2;iodizer;106;0
2;fleecer;108;0
2;aplitic;109;0
2;scauper;118;0
2;luganda;120;0
2;agulhas;123;0
2;maginus;125;0
2;service;129;0
2;chunder;136;0
2;philtre;191;0
2;angrier;204;0
2;eroding;221;0
2;ferrari;274;0
2;kinesic;274;0
2;regosol;292;0
2;manning;294;0
2;vistula;298;0
2;capelin;320;0
2;stertor;359;0
2;arrived;383;0
2;shipman;385;0
2;birling;427;0
2;subhead;480;0
2;parquet;511;0
2;starver;520;0
2;enskyed;604;0
2;etching;689;0
2;allover;818;0
2;berwick;829;0
2;saurian;1048;0
2;flunkey_0001;1447;0
2;ebonise;1563;0
2;Year;2019;0
2;grafton;3087;0
2;maestro;3326;0
2;scalpel;4135;0
2;woodser;4242;0
2;toadied;4444;0
2;contemn;7589;0
2;seattle;8198;0
2;cawdrey;10422;0,5
2;mortise;12434;0,5
2;precast;12587;0,5
2;drawbar;13321;0,5
2;fergana;14360;0,5
2;dacryon;15714;0,5
2;microhm;18263;0,5
2;benison;18758;0,5
2;cadorna;18830;0,5
2;shaptin;20511;0,5
2;recarve;26253;0,5
2;golding;28673;0,5
2;mitzvah;29150;0,5
2;fordone;30723;0,5
2;hydroid;34282;0,5
2;overlay;49958;0,5
2;triduum;51730;0,5
2;lighter;53570;0,5
2;neuston;112601;0,5
2;nonplus;142373;0,5
2;flunkey;963940;1
3;gossipy;4;0
3;airline;8;0
3;doubter;11;0
3;murther;16;0
3;britska;17;0
3;rending;22;0
3;bambino;26;0
3;byronic;35;0
3;puccoon;39;0
3;sophist;42;0
3;protege;46;0
3;ivylike;47;0
3;mizoram;47;0
3;citizen;54;0
3;heavier;55;0
3;scauper;55;0
3;amenity;56;0
3;candler;59;0
3;oceanog;61;0
3;quamash;65;0
3;trismus;70;0
3;aplitic;71;0
3;gonadal;71;0
3;luganda;74;0
3;mabelle;78;0
3;arecibo;81;0
3;fleecer;84;0
3;twinned;111;0
3;cynurus;115;0
3;iodizer;139;0
3;philtre;144;0
3;agulhas;158;0
3;birling;165;0
3;fumette;173;0
3;maginus;181;0
3;eroding;183;0
3;chunder;194;0
3;kinesic;198;0
3;ferrari;221;0
3;gingham;227;0
3;service;234;0
3;capelin;243;0
3;anchovy;277;0
3;shipman;278;0
3;angrier;307;0
3;manning;312;0
3;vistula;313;0
3;daro;335;0
3;subhead;409;0
3;stertor;410;0
3;starver;421;0
3;regosol;435;0
3;parquet;449;0
3;allover;483;0
3;etching;556;0
3;enskyed;563;0
3;arrived;592;0
3;saurian;782;0
3;berwick;970;0
3;flunkey_0001;1130;0
3;ebonise;1229;0
3;Year;2019;0
3;toadied;2762;0
3;maestro;3206;0
3;grafton;3274;0
3;woodser;3279;0
3;scalpel;3616;0
3;seattle;7417;0
3;contemn;7710;0
3;drawbar;11453;0,5
3;cawdrey;12253;0,5
3;dacryon;12311;0,5
3;mortise;13133;0,5
3;fergana;13218;0,5
3;precast;14194;0,5
3;benison;15068;0,5
3;cadorna;16252;0,5
3;microhm;17876;0,5
3;golding;19276;0,5
3;shaptin;20136;0,5
3;fordone;20231;0,5
3;hydroid;29929;0,5
3;mitzvah;32388;0,5
3;recarve;35966;0,5
3;overlay;41054;0,5
3;triduum;49387;0,5
3;lighter;52403;0,5
3;neuston;103396;0,5
3;nonplus;203291;0,5
3;flunkey;870492;1
4;kowloon;2;0
4;sophist;4;0
4;puccoon;8;0
4;citizen;8;0
4;bambino;11;0
4;supreme;12;0
4;byronic;12;0
4;amenity;13;0
4;heavier;21;0
4;arecibo;21;0
4;murther;24;0
4;gossipy;25;0
4;trismus;26;0
4;candler;27;0
4;gonadal;35;0
4;ivylike;39;0
4;birling;42;0
4;nonsane;45;0
4;maginus;77;0
4;twinned;79;0
4;scauper;81;0
4;quamash;85;0
4;protege;85;0
4;aplitic;88;0
4;luganda;90;0
4;fleecer;101;0
4;agulhas;107;0
4;chunder;110;0
4;philtre;117;0
4;iodizer;119;0
4;anchovy;120;0
4;cynurus;127;0
4;ferrari;131;0
4;angrier;140;0
4;fumette;164;0
4;mabelle;177;0
4;kinesic;186;0
4;arrived;217;0
4;shipman;238;0
4;doubter;240;0
4;manning;243;0
4;eroding;264;0
4;daro;289;0
4;service;291;0
4;capelin;322;0
4;vistula;342;0
4;sullage;374;0
4;stertor;388;0
4;starver;395;0
4;etching;423;0
4;enskyed;425;0
4;regosol;433;0
4;parquet;476;0
4;saurian;504;0
4;subhead;525;0
4;berwick;822;0
4;allover;899;0
4;flunkey_0001;1185;0
4;ebonise;1397;0
4;Year;2019;0
4;toadied;2213;0
4;woodser;2727;0
4;grafton;2977;0
4;maestro;3301;0
4;scalpel;5389;0
4;cawdrey;7163;0
4;contemn;7432;0
4;dacryon;7528;0
4;drawbar;12147;0,5
4;fergana;12506;0,5
4;seattle;13108;0,5
4;cadorna;15129;0,5
4;microhm;16815;0,5
4;recarve;17348;0,5
4;benison;18458;0,5
4;mortise;18950;0,5
4;fordone;19039;0,5
4;precast;19503;0,5
4;shaptin;19720;0,5
4;golding;20899;0,5
4;hydroid;24674;0,5
4;mitzvah;27276;0,5
4;overlay;39709;0,5
4;triduum;45851;0,5
4;lighter;53932;0,5
4;neuston;96874;0,5
4;nonplus;107456;0,5
4;flunkey;877722;1
5;ivylike;5;0
5;mabelle;7;0
5;britska;7;0
5;oceanog;10;0
5;kowloon;13;0
5;tripoli;15;0
5;supreme;25;0
5;amenity;27;0
5;gossipy;29;0
5;aplitic;30;0
5;citizen;34;0
5;angrier;36;0
5;gonadal;37;0
5;byronic;38;0
5;anchovy;40;0
5;protege;42;0
5;scauper;43;0
5;murther;44;0
5;candler;48;0
5;heavier;50;0
5;arecibo;52;0
5;puccoon;56;0
5;quamash;57;0
5;twinned;57;0
5;maginus;88;0
5;vistula;91;0
5;service;96;0
5;arrived;98;0
5;natalia;104;0
5;fumette;104;0
5;doubter;107;0
5;chunder;111;0
5;agulhas;129;0
5;iodizer;137;0
5;fleecer;139;0
5;luganda;142;0
5;philtre;148;0
5;ferrari;150;0
5;kinesic;191;0
5;eroding;219;0
5;cynurus;245;0
5;shipman;247;0
5;daro;252;0
5;capelin;261;0
5;manning;333;0
5;stertor;377;0
5;etching;382;0
5;regosol;395;0
5;starver;407;0
5;parquet;412;0
5;sullage;482;0
5;subhead;536;0
5;allover;592;0
5;saurian;632;0
5;birling;662;0
5;enskyed;704;0
5;berwick;980;0
5;ebonise;1016;0
5;flunkey_0001;1165;0
5;Year;2019;0
5;woodser;2270;0
5;toadied;2419;0
5;maestro;2730;0
5;grafton;3305;0
5;cawdrey;4446;0
5;scalpel;4493;0
5;contemn;7478;0
5;seattle;8139;0
5;mortise;10370;0,5
5;drawbar;12261;0,5
5;fergana;12385;0,5
5;dacryon;13298;0,5
5;microhm;15929;0,5
5;fordone;16330;0,5
5;shaptin;17270;0,5
5;precast;17483;0,5
5;golding;19382;0,5
5;cadorna;19506;0,5
5;benison;19612;0,5
5;recarve;22717;0,5
5;hydroid;26226;0,5
5;lighter;28657;0,5
5;mitzvah;31259;0,5
5;overlay;36729;0,5
5;triduum;38570;0,5
5;nonplus;88915;0,5
5;neuston;116423;0,5
5;flunkey;863211;1
6;byronic;3;0
6;oceanog;6;0
6;kowloon;13;0
6;airline;15;0
6;gossipy;17;0
6;mabelle;19;0
6;candler;20;0
6;gonadal;21;0
6;amenity;21;0
6;arrived;21;0
6;ivylike;29;0
6;supreme;37;0
6;natalia;38;0
6;arecibo;41;0
6;puccoon;44;0
6;bambino;44;0
6;nonsane;50;0
6;britska;51;0
6;scauper;52;0
6;vistula;60;0
6;protege;63;0
6;chunder;70;0
6;sophist;73;0
6;citizen;75;0
6;quamash;80;0
6;gingham;80;0
6;service;82;0
6;anchovy;85;0
6;doubter;96;0
6;luganda;104;0
6;eroding;106;0
6;birling;108;0
6;aplitic;111;0
6;fleecer;115;0
6;iodizer;117;0
6;fumette;130;0
6;maginus;141;0
6;philtre;145;0
6;agulhas;162;0
6;angrier;172;0
6;cynurus;181;0
6;manning;185;0
6;sullage;196;0
6;shipman;196;0
6;ferrari;201;0
6;kinesic;216;0
6;etching;276;0
6;eyespot;289;0
6;daro;301;0
6;stertor;339;0
6;capelin;356;0
6;regosol;431;0
6;allover;446;0
6;subhead;459;0
6;parquet;464;0
6;starver;612;0
6;saurian;628;0
6;enskyed;674;0
6;flunkey_0001;1140;0
6;berwick;1248;0
6;ebonise;1466;0
6;Year;2019;0
6;woodser;2454;0
6;grafton;2939;0
6;scalpel;4259;0
6;toadied;5377;0
6;maestro;5546;0
6;cawdrey;5552;0
6;seattle;6856;0
6;contemn;7602;0
6;drawbar;8881;0
6;mortise;9760;0
6;precast;10439;0,5
6;dacryon;12879;0,5
6;fergana;13560;0,5
6;fordone;15079;0,5
6;shaptin;15959;0,5
6;golding;16088;0,5
6;microhm;16800;0,5
6;cadorna;17658;0,5
6;benison;20230;0,5
6;hydroid;21518;0,5
6;recarve;23639;0,5
6;mitzvah;33347;0,5
6;overlay;35477;0,5
6;triduum;43957;0,5
6;lighter;58616;0,5
6;neuston;102365;0,5
6;nonplus;114722;0,5
6;flunkey;831944;1
7;trismus;2;0
7;candler;2;0
7;supreme;7;0
7;gossipy;8;0
7;fleecer;15;0
7;rending;17;0
7;britska;19;0
7;tripoli;22;0
7;oceanog;23;0
7;bambino;26;0
7;sophist;30;0
7;heavier;30;0
7;kowloon;36;0
7;natalia;40;0
7;aplitic;40;0
7;gingham;41;0
7;airline;43;0
7;byronic;43;0
7;murther;53;0
7;mabelle;58;0
7;amenity;60;0
7;ivylike;63;0
7;chunder;68;0
7;twinned;69;0
7;philtre;69;0
7;anchovy;71;0
7;doubter;80;0
7;cynurus;82;0
7;fumette;102;0
7;scauper;106;0
7;luganda;107;0
7;quamash;107;0
7;nonsane;109;0
7;birling;114;0
7;service;137;0
7;ferrari;137;0
7;agulhas;138;0
7;kinesic;145;0
7;eyespot;147;0
7;iodizer;148;0
7;manning;177;0
7;maginus;178;0
7;shipman;191;0
7;eroding;194;0
7;angrier;204;0
7;vistula;220;0
7;sullage;260;0
7;stertor;270;0
7;arrived;286;0
7;capelin;291;0
7;daro;319;0
7;etching;360;0
7;regosol;400;0
7;subhead;417;0
7;parquet;481;0
7;enskyed;608;0
7;starver;663;0
7;saurian;683;0
7;allover;712;0
7;berwick;962;0
7;ebonise;993;0
7;flunkey_0001;997;0
7;Year;2019;0
7;woodser;2281;0
7;toadied;2463;0
7;grafton;3077;0
7;maestro;4107;0
7;drawbar;4719;0
7;cawdrey;5047;0
7;scalpel;6849;0
7;contemn;7222;0
7;mortise;7272;0
7;seattle;7516;0
7;dacryon;7824;0
7;fordone;9976;0
7;golding;12416;0,5
7;fergana;13014;0,5
7;precast;13248;0,5
7;microhm;15402;0,5
7;cadorna;16264;0,5
7;shaptin;17705;0,5
7;benison;21084;0,5
7;mitzvah;24396;0,5
7;lighter;28538;0,5
7;hydroid;28886;0,5
7;recarve;31412;0,5
7;overlay;32945;0,5
7;triduum;42171;0,5
7;neuston;84566;0,5
7;nonplus;180360;0,5
7;flunkey;829064;1
8;murther;1;0
8;byronic;8;0
8;nonsane;10;0
8;gossipy;15;0
8;arecibo;20;0
8;gingham;22;0
8;puccoon;22;0
8;mizoram;23;0
8;citizen;24;0
8;supreme;37;0
8;amenity;39;0
8;airline;39;0
8;oceanog;39;0
8;ivylike;42;0
8;engager;45;0
8;gonadal;51;0
8;sophist;52;0
8;tripoli;53;0
8;doubter;54;0
8;candler;54;0
8;kowloon;59;0
8;mabelle;64;0
8;scauper;69;0
8;iodizer;70;0
8;aplitic;89;0
8;luganda;89;0
8;fumette;92;0
8;quamash;94;0
8;birling;99;0
8;maginus;101;0
8;anchovy;103;0
8;ferrari;106;0
8;agulhas;106;0
8;sullage;109;0
8;philtre;112;0
8;fleecer;121;0
8;cynurus;128;0
8;kinesic;131;0
8;vistula;134;0
8;eroding;144;0
8;chunder;159;0
8;eyespot;164;0
8;angrier;165;0
8;manning;168;0
8;arrived;185;0
8;service;192;0
8;shipman;247;0
8;starver;257;0
8;daro;280;0
8;etching;311;0
8;capelin;311;0
8;regosol;320;0
8;stertor;336;0
8;subhead;468;0
8;parquet;480;0
8;enskyed;562;0
8;allover;747;0
8;saurian;840;0
8;berwick;911;0
8;ebonise;1033;0
8;flunkey_0001;1105;0
8;woodser;1912;0
8;Year;2019;0
8;toadied;2398;0
8;dacryon;3109;0
8;grafton;3109;0
8;maestro;3111;0
8;scalpel;3873;0
8;cawdrey;5214;0
8;contemn;7161;0
8;golding;10130;0,5
8;seattle;11064;0,5
8;fordone;11502;0,5
8;lighter;12105;0,5
8;shaptin;12880;0,5
8;fergana;13075;0,5
8;microhm;14215;0,5
8;drawbar;14425;0,5
8;precast;15049;0,5
8;mortise;15768;0,5
8;cadorna;16864;0,5
8;mitzvah;22377;0,5
8;hydroid;22463;0,5
8;benison;33980;0,5
8;triduum;35528;0,5
8;overlay;36139;0,5
8;neuston;59472;0,5
8;recarve;59981;0,5
8;nonplus;112640;0,5
8;flunkey;776155;1
9;engager;1;0
9;gonadal;3;0
9;puccoon;11;0
9;chunder;16;0
9;kowloon;18;0
9;ivylike;19;0
9;rending;21;0
9;scauper;23;0
9;airline;23;0
9;anchovy;30;0
9;natalia;30;0
9;oceanog;30;0
9;citizen;30;0
9;gingham;33;0
9;aplitic;35;0
9;supreme;37;0
9;nonsane;37;0
9;heavier;41;0
9;luganda;42;0
9;candler;45;0
9;mabelle;47;0
9;protege;51;0
9;murther;53;0
9;maginus;56;0
9;byronic;62;0
9;sophist;67;0
9;gossipy;68;0
9;tripoli;73;0
9;sullage;89;0
9;quamash;94;0
9;philtre;97;0
9;bambino;100;0
9;eyespot;110;0
9;manning;121;0
9;doubter;126;0
9;service;131;0
9;ferrari;131;0
9;fleecer;133;0
9;fumette;133;0
9;iodizer;153;0
9;twinned;156;0
9;cynurus;159;0
9;kinesic;164;0
9;agulhas;168;0
9;angrier;168;0
9;arrived;183;0
9;eroding;190;0
9;vistula;213;0
9;stertor;215;0
9;shipman;267;0
9;etching;272;0
9;starver;276;0
9;daro;314;0
9;capelin;324;0
9;regosol;434;0
9;subhead;446;0
9;birling;451;0
9;saurian;483;0
9;parquet;586;0
9;allover;604;0
9;enskyed;691;0
9;berwick;793;0
9;ebonise;1202;0
9;flunkey_0001;1701;0
9;woodser;1808;0
9;Year;2019;0
9;scalpel;2705;0
9;toadied;2945;0
9;grafton;3459;0
9;maestro;3599;0
9;cawdrey;5764;0
9;drawbar;5815;0
9;contemn;7480;0
9;seattle;9270;0
9;fordone;10189;0,5
9;lighter;11459;0,5
9;dacryon;13494;0,5
9;golding;14112;0,5
9;fergana;14115;0,5
9;precast;15931;0,5
9;microhm;16388;0,5
